175.157.36.75 - - [08/Oct/2022:13:39:41 +0530] "GET /static/css/2.efad5152.chunk.css HTTP/2.0" 200 7000 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:42 +0530] "GET /static/css/main.d2bb7ab6.chunk.css HTTP/2.0" 200 1499 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:42 +0530] "GET /static/js/main.ef9c3c18.chunk.js HTTP/2.0" 200 66379 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:42 +0530] "GET /static/css/2.efad5152.chunk.css.map HTTP/2.0" 200 8366 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:43 +0530] "GET /static/css/main.d2bb7ab6.chunk.css.map HTTP/2.0" 200 4148 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:44 +0530] "GET /static/js/2.5190dd2c.chunk.js HTTP/2.0" 200 2516041 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:49 +0530] "GET /assets/background/cloud_day.png HTTP/2.0" 200 2249 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:49 +0530] "GET /assets/background/cloud_day.json HTTP/2.0" 200 1508 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:49 +0530] "GET /assets/background/backdrop_day.png HTTP/2.0" 200 3690 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:49 +0530] "GET /assets/background/cloud_night.png HTTP/2.0" 200 2267 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
